data,High,Low,Open,Close,Volume,Adj Close,,,,,
2016-03-28,51149.0,49687.0,49687.0,50838.0,3515800.0,50838.0,,,,,
2016-03-29,51765.0,50387.0,50839.0,51155.0,4320900.0,51155.0,,,,,
2016-03-30,52262.0,50900.0,51155.0,51249.0,4730600.0,51249.0,,,,,
2016-03-31,51248.0,49642.0,51248.0,50055.0,4251900.0,50055.0,,,,,
2016-04-01,50768.0,49361.0,50054.0,50562.0,3890600.0,50562.0,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Porcentagem Negativa,"0,298"
,,,,,,,,,,Porcentagem Neutra,"0,702"
,,,,,,,,,,Porcentagem Positiva,0
,,,,,,,,,,Valor Composto,"-0,9769"
